trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1167-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-acoustic6.wav","Gamma",180,"acoustic","1147-sin-37.5Hz-ninety.avi","1149-sin-37.5Hz-ninety.avi","1167-sin-37.5Hz-ninety.avi","1164-sin-37.5Hz-ninety.avi",3
2,"1147-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-acoustic23.wav","Gamma",270,"acoustic","1167-sin-37.5Hz-ninety.avi","1164-sin-37.5Hz-ninety.avi","1149-sin-37.5Hz-ninety.avi","1147-sin-37.5Hz-ninety.avi",4
3,"1149-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-acoustic24.wav","Gamma",270,"acoustic","1149-sin-37.5Hz-ninety.avi","1147-sin-37.5Hz-ninety.avi","1164-sin-37.5Hz-ninety.avi","1167-sin-37.5Hz-ninety.avi",1
4,"1170-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-choir9.wav","Theta",180,"choir","1185-sin-4Hz-ninety.avi","1181-sin-4Hz-ninety.avi","1170-sin-4Hz-ninety.avi","1187-sin-4Hz-ninety.avi",3
5,"1138-sin-37.5Hz-ninety.avi","ninety","sin-ninety-yann21.wav","Gamma",90,"yann","1127-sin-37.5Hz-ninety.avi","1125-sin-37.5Hz-ninety.avi","1138-sin-37.5Hz-ninety.avi","1122-sin-37.5Hz-ninety.avi",3
6,"1187-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-choir2.wav","Theta",0,"choir","1185-sin-4Hz-ninety.avi","1170-sin-4Hz-ninety.avi","1187-sin-4Hz-ninety.avi","1181-sin-4Hz-ninety.avi",3
7,"1181-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-choir8.wav","Theta",180,"choir","1185-sin-4Hz-ninety.avi","1187-sin-4Hz-ninety.avi","1170-sin-4Hz-ninety.avi","1181-sin-4Hz-ninety.avi",4
8,"1164-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-acoustic17.wav","Gamma",180,"acoustic","1164-sin-37.5Hz-ninety.avi","1149-sin-37.5Hz-ninety.avi","1167-sin-37.5Hz-ninety.avi","1147-sin-37.5Hz-ninety.avi",1
9,"1185-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-choir1.wav","Theta",0,"choir","1185-sin-4Hz-ninety.avi","1187-sin-4Hz-ninety.avi","1170-sin-4Hz-ninety.avi","1181-sin-4Hz-ninety.avi",1
10,"1122-sin-37.5Hz-ninety.avi","ninety","sin-ninety-yann22.wav","Gamma",90,"yann","1138-sin-37.5Hz-ninety.avi","1127-sin-37.5Hz-ninety.avi","1122-sin-37.5Hz-ninety.avi","1125-sin-37.5Hz-ninety.avi",3
11,"1125-sin-37.5Hz-ninety.avi","zero","sin-zero-yann15.wav","Gamma",0,"yann","1127-sin-37.5Hz-ninety.avi","1125-sin-37.5Hz-ninety.avi","1122-sin-37.5Hz-ninety.avi","1138-sin-37.5Hz-ninety.avi",2
12,"1127-sin-37.5Hz-ninety.avi","zero","sin-zero-yann16.wav","Gamma",0,"yann","1127-sin-37.5Hz-ninety.avi","1122-sin-37.5Hz-ninety.avi","1138-sin-37.5Hz-ninety.avi","1125-sin-37.5Hz-ninety.avi",1
