trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1169-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann2.wav","Theta",0,"yann","1187-sin-4Hz-ninety.avi","1169-sin-4Hz-ninety.avi","1175-sin-4Hz-ninety.avi","1184-sin-4Hz-ninety.avi",2
2,"1187-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann3.wav","Theta",0,"yann","1175-sin-4Hz-ninety.avi","1187-sin-4Hz-ninety.avi","1169-sin-4Hz-ninety.avi","1184-sin-4Hz-ninety.avi",2
3,"1135-sin-37.5Hz-ninety.avi","zero","sin-zero-orch16.wav","Gamma",0,"orch","1135-sin-37.5Hz-ninety.avi","1126-sin-37.5Hz-ninety.avi","1142-sin-37.5Hz-ninety.avi","1124-sin-37.5Hz-ninety.avi",1
4,"1155-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth12.wav","Gamma",270,"synth","1168-sin-37.5Hz-ninety.avi","1167-sin-37.5Hz-ninety.avi","1165-sin-37.5Hz-ninety.avi","1155-sin-37.5Hz-ninety.avi",4
5,"1126-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch21.wav","Gamma",90,"orch","1126-sin-37.5Hz-ninety.avi","1142-sin-37.5Hz-ninety.avi","1124-sin-37.5Hz-ninety.avi","1135-sin-37.5Hz-ninety.avi",1
6,"1167-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth6.wav","Gamma",180,"synth","1168-sin-37.5Hz-ninety.avi","1155-sin-37.5Hz-ninety.avi","1167-sin-37.5Hz-ninety.avi","1165-sin-37.5Hz-ninety.avi",3
7,"1142-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch19.wav","Gamma",90,"orch","1124-sin-37.5Hz-ninety.avi","1126-sin-37.5Hz-ninety.avi","1135-sin-37.5Hz-ninety.avi","1142-sin-37.5Hz-ninety.avi",4
8,"1124-sin-37.5Hz-ninety.avi","zero","sin-zero-orch14.wav","Gamma",0,"orch","1126-sin-37.5Hz-ninety.avi","1142-sin-37.5Hz-ninety.avi","1135-sin-37.5Hz-ninety.avi","1124-sin-37.5Hz-ninety.avi",4
9,"1165-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth5.wav","Gamma",180,"synth","1168-sin-37.5Hz-ninety.avi","1155-sin-37.5Hz-ninety.avi","1165-sin-37.5Hz-ninety.avi","1167-sin-37.5Hz-ninety.avi",3
10,"1168-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth23.wav","Gamma",270,"synth","1165-sin-37.5Hz-ninety.avi","1168-sin-37.5Hz-ninety.avi","1167-sin-37.5Hz-ninety.avi","1155-sin-37.5Hz-ninety.avi",2
11,"1175-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann9.wav","Theta",180,"yann","1187-sin-4Hz-ninety.avi","1169-sin-4Hz-ninety.avi","1184-sin-4Hz-ninety.avi","1175-sin-4Hz-ninety.avi",4
12,"1184-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann10.wav","Theta",180,"yann","1187-sin-4Hz-ninety.avi","1169-sin-4Hz-ninety.avi","1175-sin-4Hz-ninety.avi","1184-sin-4Hz-ninety.avi",4
