trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1090-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep2.wav","Theta",0,"ep","1095-sin-4Hz-ninety.avi","1094-sin-4Hz-ninety.avi","1074-sin-4Hz-ninety.avi","1090-sin-4Hz-ninety.avi",4
2,"1038-sin-37.5Hz-ninety.avi","zero","sin-zero-choir16.wav","Gamma",0,"choir","1038-sin-37.5Hz-ninety.avi","1030-sin-37.5Hz-ninety.avi","1026-sin-37.5Hz-ninety.avi","1045-sin-37.5Hz-ninety.avi",1
3,"1070-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar12.wav","Gamma",270,"dar","1072-sin-37.5Hz-ninety.avi","1059-sin-37.5Hz-ninety.avi","1071-sin-37.5Hz-ninety.avi","1070-sin-37.5Hz-ninety.avi",4
4,"1074-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep1.wav","Theta",0,"ep","1094-sin-4Hz-ninety.avi","1090-sin-4Hz-ninety.avi","1074-sin-4Hz-ninety.avi","1095-sin-4Hz-ninety.avi",3
5,"1045-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir22.wav","Gamma",90,"choir","1030-sin-37.5Hz-ninety.avi","1026-sin-37.5Hz-ninety.avi","1045-sin-37.5Hz-ninety.avi","1038-sin-37.5Hz-ninety.avi",3
6,"1071-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar18.wav","Gamma",180,"dar","1070-sin-37.5Hz-ninety.avi","1059-sin-37.5Hz-ninety.avi","1071-sin-37.5Hz-ninety.avi","1072-sin-37.5Hz-ninety.avi",3
7,"1094-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep7.wav","Theta",180,"ep","1074-sin-4Hz-ninety.avi","1090-sin-4Hz-ninety.avi","1094-sin-4Hz-ninety.avi","1095-sin-4Hz-ninety.avi",3
8,"1072-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar24.wav","Gamma",270,"dar","1072-sin-37.5Hz-ninety.avi","1071-sin-37.5Hz-ninety.avi","1059-sin-37.5Hz-ninety.avi","1070-sin-37.5Hz-ninety.avi",1
9,"1030-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir20.wav","Gamma",90,"choir","1030-sin-37.5Hz-ninety.avi","1045-sin-37.5Hz-ninety.avi","1026-sin-37.5Hz-ninety.avi","1038-sin-37.5Hz-ninety.avi",1
10,"1095-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep9.wav","Theta",180,"ep","1074-sin-4Hz-ninety.avi","1094-sin-4Hz-ninety.avi","1095-sin-4Hz-ninety.avi","1090-sin-4Hz-ninety.avi",3
11,"1059-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar6.wav","Gamma",180,"dar","1070-sin-37.5Hz-ninety.avi","1059-sin-37.5Hz-ninety.avi","1072-sin-37.5Hz-ninety.avi","1071-sin-37.5Hz-ninety.avi",2
12,"1026-sin-37.5Hz-ninety.avi","zero","sin-zero-choir14.wav","Gamma",0,"choir","1038-sin-37.5Hz-ninety.avi","1030-sin-37.5Hz-ninety.avi","1045-sin-37.5Hz-ninety.avi","1026-sin-37.5Hz-ninety.avi",4
