trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1178-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep8.wav","Theta",180,"ep","1178-sin-4Hz-ninety.avi","1189-sin-4Hz-ninety.avi","1177-sin-4Hz-ninety.avi","1186-sin-4Hz-ninety.avi",1
2,"1156-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar23.wav","Gamma",270,"dar","1159-sin-37.5Hz-ninety.avi","1167-sin-37.5Hz-ninety.avi","1158-sin-37.5Hz-ninety.avi","1156-sin-37.5Hz-ninety.avi",4
3,"1167-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar5.wav","Gamma",180,"dar","1159-sin-37.5Hz-ninety.avi","1158-sin-37.5Hz-ninety.avi","1167-sin-37.5Hz-ninety.avi","1156-sin-37.5Hz-ninety.avi",3
4,"1130-sin-37.5Hz-ninety.avi","zero","sin-zero-choir15.wav","Gamma",0,"choir","1127-sin-37.5Hz-ninety.avi","1130-sin-37.5Hz-ninety.avi","1124-sin-37.5Hz-ninety.avi","1129-sin-37.5Hz-ninety.avi",2
5,"1177-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep4.wav","Theta",0,"ep","1186-sin-4Hz-ninety.avi","1178-sin-4Hz-ninety.avi","1189-sin-4Hz-ninety.avi","1177-sin-4Hz-ninety.avi",4
6,"1129-sin-37.5Hz-ninety.avi","zero","sin-zero-choir14.wav","Gamma",0,"choir","1130-sin-37.5Hz-ninety.avi","1129-sin-37.5Hz-ninety.avi","1124-sin-37.5Hz-ninety.avi","1127-sin-37.5Hz-ninety.avi",2
7,"1189-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep7.wav","Theta",180,"ep","1178-sin-4Hz-ninety.avi","1189-sin-4Hz-ninety.avi","1177-sin-4Hz-ninety.avi","1186-sin-4Hz-ninety.avi",2
8,"1124-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir21.wav","Gamma",90,"choir","1130-sin-37.5Hz-ninety.avi","1127-sin-37.5Hz-ninety.avi","1124-sin-37.5Hz-ninety.avi","1129-sin-37.5Hz-ninety.avi",3
9,"1158-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar6.wav","Gamma",180,"dar","1159-sin-37.5Hz-ninety.avi","1156-sin-37.5Hz-ninety.avi","1167-sin-37.5Hz-ninety.avi","1158-sin-37.5Hz-ninety.avi",4
10,"1127-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir19.wav","Gamma",90,"choir","1129-sin-37.5Hz-ninety.avi","1124-sin-37.5Hz-ninety.avi","1130-sin-37.5Hz-ninety.avi","1127-sin-37.5Hz-ninety.avi",4
11,"1186-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep1.wav","Theta",0,"ep","1189-sin-4Hz-ninety.avi","1186-sin-4Hz-ninety.avi","1177-sin-4Hz-ninety.avi","1178-sin-4Hz-ninety.avi",2
12,"1159-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar11.wav","Gamma",270,"dar","1158-sin-37.5Hz-ninety.avi","1159-sin-37.5Hz-ninety.avi","1156-sin-37.5Hz-ninety.avi","1167-sin-37.5Hz-ninety.avi",2
