trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1184-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann13.wav","Theta",0,"yann","1170-sin-4Hz-ninety.avi","1186-sin-4Hz-ninety.avi","1191-sin-4Hz-ninety.avi","1184-sin-4Hz-ninety.avi",4
2,"1122-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch11.wav","Gamma",90,"orch","1122-sin-37.5Hz-ninety.avi","1140-sin-37.5Hz-ninety.avi","1135-sin-37.5Hz-ninety.avi","1141-sin-37.5Hz-ninety.avi",1
3,"1161-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth10.wav","Gamma",270,"synth","1160-sin-37.5Hz-ninety.avi","1161-sin-37.5Hz-ninety.avi","1167-sin-37.5Hz-ninety.avi","1153-sin-37.5Hz-ninety.avi",2
4,"1170-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann21.wav","Theta",180,"yann","1184-sin-4Hz-ninety.avi","1191-sin-4Hz-ninety.avi","1170-sin-4Hz-ninety.avi","1186-sin-4Hz-ninety.avi",3
5,"1135-sin-37.5Hz-ninety.avi","zero","sin-zero-orch18.wav","Gamma",0,"orch","1141-sin-37.5Hz-ninety.avi","1140-sin-37.5Hz-ninety.avi","1135-sin-37.5Hz-ninety.avi","1122-sin-37.5Hz-ninety.avi",3
6,"1160-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth2.wav","Gamma",180,"synth","1153-sin-37.5Hz-ninety.avi","1161-sin-37.5Hz-ninety.avi","1160-sin-37.5Hz-ninety.avi","1167-sin-37.5Hz-ninety.avi",3
7,"1153-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth9.wav","Gamma",270,"synth","1167-sin-37.5Hz-ninety.avi","1161-sin-37.5Hz-ninety.avi","1160-sin-37.5Hz-ninety.avi","1153-sin-37.5Hz-ninety.avi",4
8,"1141-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch23.wav","Gamma",90,"orch","1135-sin-37.5Hz-ninety.avi","1140-sin-37.5Hz-ninety.avi","1122-sin-37.5Hz-ninety.avi","1141-sin-37.5Hz-ninety.avi",4
9,"1140-sin-37.5Hz-ninety.avi","zero","sin-zero-orch5.wav","Gamma",0,"orch","1140-sin-37.5Hz-ninety.avi","1122-sin-37.5Hz-ninety.avi","1135-sin-37.5Hz-ninety.avi","1141-sin-37.5Hz-ninety.avi",1
10,"1186-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann22.wav","Theta",180,"yann","1184-sin-4Hz-ninety.avi","1186-sin-4Hz-ninety.avi","1170-sin-4Hz-ninety.avi","1191-sin-4Hz-ninety.avi",2
11,"1191-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann15.wav","Theta",0,"yann","1191-sin-4Hz-ninety.avi","1184-sin-4Hz-ninety.avi","1186-sin-4Hz-ninety.avi","1170-sin-4Hz-ninety.avi",1
12,"1167-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth3.wav","Gamma",180,"synth","1160-sin-37.5Hz-ninety.avi","1161-sin-37.5Hz-ninety.avi","1167-sin-37.5Hz-ninety.avi","1153-sin-37.5Hz-ninety.avi",3
