trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1129-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann23.wav","Theta",180,"yann","1140-sin-4Hz-ninety.avi","1128-sin-4Hz-ninety.avi","1134-sin-4Hz-ninety.avi","1129-sin-4Hz-ninety.avi",4
2,"1134-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann12.wav","Theta",180,"yann","1129-sin-4Hz-ninety.avi","1140-sin-4Hz-ninety.avi","1134-sin-4Hz-ninety.avi","1128-sin-4Hz-ninety.avi",3
3,"1076-sin-37.5Hz-ninety.avi","zero","sin-zero-orch4.wav","Gamma",0,"orch","1076-sin-37.5Hz-ninety.avi","1080-sin-37.5Hz-ninety.avi","1091-sin-37.5Hz-ninety.avi","1084-sin-37.5Hz-ninety.avi",1
4,"1080-sin-37.5Hz-ninety.avi","zero","sin-zero-orch1.wav","Gamma",0,"orch","1091-sin-37.5Hz-ninety.avi","1080-sin-37.5Hz-ninety.avi","1084-sin-37.5Hz-ninety.avi","1076-sin-37.5Hz-ninety.avi",2
5,"1115-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth21.wav","Gamma",270,"synth","1099-sin-37.5Hz-ninety.avi","1112-sin-37.5Hz-ninety.avi","1104-sin-37.5Hz-ninety.avi","1115-sin-37.5Hz-ninety.avi",4
6,"1099-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth15.wav","Gamma",180,"synth","1112-sin-37.5Hz-ninety.avi","1115-sin-37.5Hz-ninety.avi","1104-sin-37.5Hz-ninety.avi","1099-sin-37.5Hz-ninety.avi",4
7,"1091-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch7.wav","Gamma",90,"orch","1084-sin-37.5Hz-ninety.avi","1080-sin-37.5Hz-ninety.avi","1091-sin-37.5Hz-ninety.avi","1076-sin-37.5Hz-ninety.avi",3
8,"1128-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann17.wav","Theta",0,"yann","1134-sin-4Hz-ninety.avi","1140-sin-4Hz-ninety.avi","1128-sin-4Hz-ninety.avi","1129-sin-4Hz-ninety.avi",3
9,"1104-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth20.wav","Gamma",270,"synth","1115-sin-37.5Hz-ninety.avi","1099-sin-37.5Hz-ninety.avi","1112-sin-37.5Hz-ninety.avi","1104-sin-37.5Hz-ninety.avi",4
10,"1140-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann18.wav","Theta",0,"yann","1134-sin-4Hz-ninety.avi","1129-sin-4Hz-ninety.avi","1128-sin-4Hz-ninety.avi","1140-sin-4Hz-ninety.avi",4
11,"1084-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch9.wav","Gamma",90,"orch","1084-sin-37.5Hz-ninety.avi","1080-sin-37.5Hz-ninety.avi","1076-sin-37.5Hz-ninety.avi","1091-sin-37.5Hz-ninety.avi",1
12,"1112-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth16.wav","Gamma",180,"synth","1112-sin-37.5Hz-ninety.avi","1099-sin-37.5Hz-ninety.avi","1115-sin-37.5Hz-ninety.avi","1104-sin-37.5Hz-ninety.avi",1
