trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1009-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann24.wav","Theta",0,"yann","1020-sin-4Hz-ninety.avi","1005-sin-4Hz-ninety.avi","1006-sin-4Hz-ninety.avi","1009-sin-4Hz-ninety.avi",4
2,"1178-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth18.wav","Gamma",270,"synth","1186-sin-37.5Hz-ninety.avi","1189-sin-37.5Hz-ninety.avi","1187-sin-37.5Hz-ninety.avi","1178-sin-37.5Hz-ninety.avi",4
3,"1162-sin-37.5Hz-ninety.avi","zero","sin-zero-orch8.wav","Gamma",0,"orch","1162-sin-37.5Hz-ninety.avi","1153-sin-37.5Hz-ninety.avi","1160-sin-37.5Hz-ninety.avi","1145-sin-37.5Hz-ninety.avi",1
4,"1187-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth21.wav","Gamma",180,"synth","1187-sin-37.5Hz-ninety.avi","1186-sin-37.5Hz-ninety.avi","1189-sin-37.5Hz-ninety.avi","1178-sin-37.5Hz-ninety.avi",1
5,"1005-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann12.wav","Theta",0,"yann","1005-sin-4Hz-ninety.avi","1020-sin-4Hz-ninety.avi","1006-sin-4Hz-ninety.avi","1009-sin-4Hz-ninety.avi",1
6,"1145-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch16.wav","Gamma",90,"orch","1162-sin-37.5Hz-ninety.avi","1153-sin-37.5Hz-ninety.avi","1145-sin-37.5Hz-ninety.avi","1160-sin-37.5Hz-ninety.avi",3
7,"1006-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann2.wav","Theta",180,"yann","1009-sin-4Hz-ninety.avi","1005-sin-4Hz-ninety.avi","1020-sin-4Hz-ninety.avi","1006-sin-4Hz-ninety.avi",4
8,"1186-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth17.wav","Gamma",270,"synth","1187-sin-37.5Hz-ninety.avi","1178-sin-37.5Hz-ninety.avi","1189-sin-37.5Hz-ninety.avi","1186-sin-37.5Hz-ninety.avi",4
9,"1020-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann4.wav","Theta",180,"yann","1005-sin-4Hz-ninety.avi","1020-sin-4Hz-ninety.avi","1006-sin-4Hz-ninety.avi","1009-sin-4Hz-ninety.avi",2
10,"1160-sin-37.5Hz-ninety.avi","zero","sin-zero-orch9.wav","Gamma",0,"orch","1160-sin-37.5Hz-ninety.avi","1145-sin-37.5Hz-ninety.avi","1153-sin-37.5Hz-ninety.avi","1162-sin-37.5Hz-ninety.avi",1
11,"1189-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth22.wav","Gamma",180,"synth","1187-sin-37.5Hz-ninety.avi","1186-sin-37.5Hz-ninety.avi","1189-sin-37.5Hz-ninety.avi","1178-sin-37.5Hz-ninety.avi",3
12,"1153-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch13.wav","Gamma",90,"orch","1153-sin-37.5Hz-ninety.avi","1160-sin-37.5Hz-ninety.avi","1145-sin-37.5Hz-ninety.avi","1162-sin-37.5Hz-ninety.avi",1
