trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1027-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-orch20.wav","Gamma",270,"orch","1027-sin-37.5Hz-ninety.avi","1039-sin-37.5Hz-ninety.avi","1046-sin-37.5Hz-ninety.avi","1035-sin-37.5Hz-ninety.avi",1
2,"1058-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-synth12.wav","Theta",180,"synth","1058-sin-4Hz-ninety.avi","1067-sin-4Hz-ninety.avi","1070-sin-4Hz-ninety.avi","1072-sin-4Hz-ninety.avi",1
3,"1011-sin-37.5Hz-ninety.avi","ninety","sin-ninety-guitar9.wav","Gamma",90,"guitar","1016-sin-37.5Hz-ninety.avi","1011-sin-37.5Hz-ninety.avi","1022-sin-37.5Hz-ninety.avi","1002-sin-37.5Hz-ninety.avi",2
4,"1070-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-synth5.wav","Theta",0,"synth","1067-sin-4Hz-ninety.avi","1058-sin-4Hz-ninety.avi","1070-sin-4Hz-ninety.avi","1072-sin-4Hz-ninety.avi",3
5,"1046-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-orch13.wav","Gamma",180,"orch","1035-sin-37.5Hz-ninety.avi","1027-sin-37.5Hz-ninety.avi","1039-sin-37.5Hz-ninety.avi","1046-sin-37.5Hz-ninety.avi",4
6,"1067-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-synth18.wav","Theta",0,"synth","1072-sin-4Hz-ninety.avi","1058-sin-4Hz-ninety.avi","1067-sin-4Hz-ninety.avi","1070-sin-4Hz-ninety.avi",3
7,"1039-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-orch15.wav","Gamma",180,"orch","1039-sin-37.5Hz-ninety.avi","1035-sin-37.5Hz-ninety.avi","1027-sin-37.5Hz-ninety.avi","1046-sin-37.5Hz-ninety.avi",1
8,"1022-sin-37.5Hz-ninety.avi","zero","sin-zero-guitar4.wav","Gamma",0,"guitar","1002-sin-37.5Hz-ninety.avi","1016-sin-37.5Hz-ninety.avi","1022-sin-37.5Hz-ninety.avi","1011-sin-37.5Hz-ninety.avi",3
9,"1035-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-orch22.wav","Gamma",270,"orch","1027-sin-37.5Hz-ninety.avi","1039-sin-37.5Hz-ninety.avi","1035-sin-37.5Hz-ninety.avi","1046-sin-37.5Hz-ninety.avi",3
10,"1002-sin-37.5Hz-ninety.avi","zero","sin-zero-guitar2.wav","Gamma",0,"guitar","1011-sin-37.5Hz-ninety.avi","1002-sin-37.5Hz-ninety.avi","1022-sin-37.5Hz-ninety.avi","1016-sin-37.5Hz-ninety.avi",2
11,"1016-sin-37.5Hz-ninety.avi","ninety","sin-ninety-guitar8.wav","Gamma",90,"guitar","1011-sin-37.5Hz-ninety.avi","1022-sin-37.5Hz-ninety.avi","1002-sin-37.5Hz-ninety.avi","1016-sin-37.5Hz-ninety.avi",4
12,"1072-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-synth11.wav","Theta",180,"synth","1070-sin-4Hz-ninety.avi","1072-sin-4Hz-ninety.avi","1058-sin-4Hz-ninety.avi","1067-sin-4Hz-ninety.avi",2
