trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1109-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-guitar10.wav","Gamma",270,"guitar","1114-sin-37.5Hz-ninety.avi","1120-sin-37.5Hz-ninety.avi","1109-sin-37.5Hz-ninety.avi","1108-sin-37.5Hz-ninety.avi",3
2,"1114-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-guitar2.wav","Gamma",180,"guitar","1108-sin-37.5Hz-ninety.avi","1114-sin-37.5Hz-ninety.avi","1120-sin-37.5Hz-ninety.avi","1109-sin-37.5Hz-ninety.avi",2
3,"1144-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-orch21.wav","Theta",180,"orch","1132-sin-4Hz-ninety.avi","1139-sin-4Hz-ninety.avi","1144-sin-4Hz-ninety.avi","1129-sin-4Hz-ninety.avi",3
4,"1081-sin-37.5Hz-ninety.avi","ninety","sin-ninety-ep24.wav","Gamma",90,"ep","1081-sin-37.5Hz-ninety.avi","1088-sin-37.5Hz-ninety.avi","1096-sin-37.5Hz-ninety.avi","1083-sin-37.5Hz-ninety.avi",1
5,"1083-sin-37.5Hz-ninety.avi","ninety","sin-ninety-ep12.wav","Gamma",90,"ep","1083-sin-37.5Hz-ninety.avi","1081-sin-37.5Hz-ninety.avi","1096-sin-37.5Hz-ninety.avi","1088-sin-37.5Hz-ninety.avi",1
6,"1108-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-guitar7.wav","Gamma",270,"guitar","1120-sin-37.5Hz-ninety.avi","1109-sin-37.5Hz-ninety.avi","1114-sin-37.5Hz-ninety.avi","1108-sin-37.5Hz-ninety.avi",4
7,"1132-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-orch22.wav","Theta",180,"orch","1139-sin-4Hz-ninety.avi","1132-sin-4Hz-ninety.avi","1129-sin-4Hz-ninety.avi","1144-sin-4Hz-ninety.avi",2
8,"1096-sin-37.5Hz-ninety.avi","zero","sin-zero-ep18.wav","Gamma",0,"ep","1096-sin-37.5Hz-ninety.avi","1081-sin-37.5Hz-ninety.avi","1083-sin-37.5Hz-ninety.avi","1088-sin-37.5Hz-ninety.avi",1
9,"1088-sin-37.5Hz-ninety.avi","zero","sin-zero-ep5.wav","Gamma",0,"ep","1081-sin-37.5Hz-ninety.avi","1083-sin-37.5Hz-ninety.avi","1096-sin-37.5Hz-ninety.avi","1088-sin-37.5Hz-ninety.avi",4
10,"1120-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-guitar4.wav","Gamma",180,"guitar","1120-sin-37.5Hz-ninety.avi","1108-sin-37.5Hz-ninety.avi","1114-sin-37.5Hz-ninety.avi","1109-sin-37.5Hz-ninety.avi",1
11,"1129-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-orch14.wav","Theta",0,"orch","1144-sin-4Hz-ninety.avi","1139-sin-4Hz-ninety.avi","1132-sin-4Hz-ninety.avi","1129-sin-4Hz-ninety.avi",4
12,"1139-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-orch16.wav","Theta",0,"orch","1132-sin-4Hz-ninety.avi","1139-sin-4Hz-ninety.avi","1129-sin-4Hz-ninety.avi","1144-sin-4Hz-ninety.avi",2
