trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1089-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch11.wav","Gamma",90,"orch","1081-sin-37.5Hz-ninety.avi","1095-sin-37.5Hz-ninety.avi","1089-sin-37.5Hz-ninety.avi","1087-sin-37.5Hz-ninety.avi",3
2,"1121-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann22.wav","Theta",180,"yann","1141-sin-4Hz-ninety.avi","1121-sin-4Hz-ninety.avi","1130-sin-4Hz-ninety.avi","1143-sin-4Hz-ninety.avi",2
3,"1105-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth7.wav","Gamma",270,"synth","1097-sin-37.5Hz-ninety.avi","1105-sin-37.5Hz-ninety.avi","1108-sin-37.5Hz-ninety.avi","1119-sin-37.5Hz-ninety.avi",2
4,"1130-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann16.wav","Theta",0,"yann","1130-sin-4Hz-ninety.avi","1121-sin-4Hz-ninety.avi","1143-sin-4Hz-ninety.avi","1141-sin-4Hz-ninety.avi",1
5,"1119-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth4.wav","Gamma",180,"synth","1097-sin-37.5Hz-ninety.avi","1105-sin-37.5Hz-ninety.avi","1108-sin-37.5Hz-ninety.avi","1119-sin-37.5Hz-ninety.avi",4
6,"1095-sin-37.5Hz-ninety.avi","zero","sin-zero-orch18.wav","Gamma",0,"orch","1095-sin-37.5Hz-ninety.avi","1089-sin-37.5Hz-ninety.avi","1087-sin-37.5Hz-ninety.avi","1081-sin-37.5Hz-ninety.avi",1
7,"1141-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-yann13.wav","Theta",0,"yann","1121-sin-4Hz-ninety.avi","1143-sin-4Hz-ninety.avi","1141-sin-4Hz-ninety.avi","1130-sin-4Hz-ninety.avi",3
8,"1097-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-synth8.wav","Gamma",270,"synth","1119-sin-37.5Hz-ninety.avi","1108-sin-37.5Hz-ninety.avi","1097-sin-37.5Hz-ninety.avi","1105-sin-37.5Hz-ninety.avi",3
9,"1081-sin-37.5Hz-ninety.avi","zero","sin-zero-orch17.wav","Gamma",0,"orch","1081-sin-37.5Hz-ninety.avi","1095-sin-37.5Hz-ninety.avi","1089-sin-37.5Hz-ninety.avi","1087-sin-37.5Hz-ninety.avi",1
10,"1087-sin-37.5Hz-ninety.avi","ninety","sin-ninety-orch12.wav","Gamma",90,"orch","1095-sin-37.5Hz-ninety.avi","1081-sin-37.5Hz-ninety.avi","1087-sin-37.5Hz-ninety.avi","1089-sin-37.5Hz-ninety.avi",3
11,"1108-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-synth1.wav","Gamma",180,"synth","1108-sin-37.5Hz-ninety.avi","1097-sin-37.5Hz-ninety.avi","1105-sin-37.5Hz-ninety.avi","1119-sin-37.5Hz-ninety.avi",1
12,"1143-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-yann19.wav","Theta",180,"yann","1130-sin-4Hz-ninety.avi","1141-sin-4Hz-ninety.avi","1143-sin-4Hz-ninety.avi","1121-sin-4Hz-ninety.avi",3
