trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1030-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar11.wav","Gamma",180,"dar","1026-sin-37.5Hz-ninety.avi","1045-sin-37.5Hz-ninety.avi","1038-sin-37.5Hz-ninety.avi","1030-sin-37.5Hz-ninety.avi",4
2,"1058-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep8.wav","Theta",0,"ep","1051-sin-4Hz-ninety.avi","1058-sin-4Hz-ninety.avi","1057-sin-4Hz-ninety.avi","1062-sin-4Hz-ninety.avi",2
3,"1057-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep13.wav","Theta",180,"ep","1051-sin-4Hz-ninety.avi","1058-sin-4Hz-ninety.avi","1062-sin-4Hz-ninety.avi","1057-sin-4Hz-ninety.avi",4
4,"1062-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-ep15.wav","Theta",180,"ep","1057-sin-4Hz-ninety.avi","1058-sin-4Hz-ninety.avi","1062-sin-4Hz-ninety.avi","1051-sin-4Hz-ninety.avi",3
5,"1026-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar2.wav","Gamma",270,"dar","1038-sin-37.5Hz-ninety.avi","1026-sin-37.5Hz-ninety.avi","1045-sin-37.5Hz-ninety.avi","1030-sin-37.5Hz-ninety.avi",2
6,"1051-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-ep9.wav","Theta",0,"ep","1051-sin-4Hz-ninety.avi","1057-sin-4Hz-ninety.avi","1062-sin-4Hz-ninety.avi","1058-sin-4Hz-ninety.avi",1
7,"1045-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-dar12.wav","Gamma",180,"dar","1038-sin-37.5Hz-ninety.avi","1030-sin-37.5Hz-ninety.avi","1026-sin-37.5Hz-ninety.avi","1045-sin-37.5Hz-ninety.avi",4
8,"1014-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir18.wav","Gamma",90,"choir","1016-sin-37.5Hz-ninety.avi","1014-sin-37.5Hz-ninety.avi","1019-sin-37.5Hz-ninety.avi","1007-sin-37.5Hz-ninety.avi",2
9,"1038-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-dar4.wav","Gamma",270,"dar","1030-sin-37.5Hz-ninety.avi","1045-sin-37.5Hz-ninety.avi","1038-sin-37.5Hz-ninety.avi","1026-sin-37.5Hz-ninety.avi",3
10,"1019-sin-37.5Hz-ninety.avi","zero","sin-zero-choir19.wav","Gamma",0,"choir","1007-sin-37.5Hz-ninety.avi","1019-sin-37.5Hz-ninety.avi","1014-sin-37.5Hz-ninety.avi","1016-sin-37.5Hz-ninety.avi",2
11,"1007-sin-37.5Hz-ninety.avi","ninety","sin-ninety-choir6.wav","Gamma",90,"choir","1007-sin-37.5Hz-ninety.avi","1019-sin-37.5Hz-ninety.avi","1016-sin-37.5Hz-ninety.avi","1014-sin-37.5Hz-ninety.avi",1
12,"1016-sin-37.5Hz-ninety.avi","zero","sin-zero-choir21.wav","Gamma",0,"choir","1016-sin-37.5Hz-ninety.avi","1014-sin-37.5Hz-ninety.avi","1019-sin-37.5Hz-ninety.avi","1007-sin-37.5Hz-ninety.avi",1
